Topic,Day,QuizID,QuestionNumber,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
Email & Calendar Best Practices,11,EMA-341,1,What should you do before opening an email attachment?,Open it immediately,Forward it to everyone,Verify the sender and ensure itâ€™s expected,Disable antivirus software,C,Checking the sender and verifying that attachments are expected helps avoid malware or phishing attacks
Email & Calendar Best Practices,11,EMA-341,2,Why is it important to avoid clicking unknown links in emails?,They may lead to phishing sites,They upgrade your email,They improve computer speed,They always give rewards,A,Unknown links can lead to phishing or malicious sites that attempt to steal information
Email & Calendar Best Practices,11,EMA-341,3,What is a good practice for creating a subject line in professional emails?,Make it clear and concise,Use all caps and emojis,Include personal jokes,Leave it blank,A,Clear and concise subject lines help recipients understand the purpose of the email
Email & Calendar Best Practices,12,EMA-342,1,"If you receive a suspicious email asking for personal information, what should you do?",Forward it to friends,Provide the information requested,Click all links,Do not respond and report it as phishing,D,CISA recommends not responding to phishing emails and reporting them to the appropriate authority
Email & Calendar Best Practices,12,EMA-342,2,Why should you be careful with â€˜reply allâ€™ in emails?,It automatically schedules a meeting,It encrypts the email,Because it deletes the message,To avoid unnecessary messages to large groups,D,Using â€˜reply allâ€™ indiscriminately can clutter inboxes; send only to those who need to see the reply
Email & Calendar Best Practices,12,EMA-342,3,Which calendar practice helps ensure you arrive on time to meetings?,Never accepting invites,Scheduling overlapping meetings,Setting reminders and alerts,Ignoring calendar notifications,C,Using reminders and alerts helps you manage time and be punctual for meetings
Email & Calendar Best Practices,13,EMA-343,1,Why is it helpful to include an agenda in a calendar invite?,It isnâ€™t helpful,So participants know what will be discussed,To reduce attendance,To surprise attendees,B,Providing an agenda ensures attendees are prepared and understand the purpose of the meeting
Email & Calendar Best Practices,13,EMA-343,2,What is a benefit of scheduling focus time on your calendar?,It allows you to dedicate uninterrupted time to important tasks,It deletes emails,It reduces productivity,It eliminates all work,A,Blocking focus time helps you work on important tasks without interruptions
Email & Calendar Best Practices,13,EMA-343,3,Why should you avoid sending large attachments via email?,Theyâ€™re always acceptable,They increase security,They can clog recipientsâ€™ inboxes; use shared drives instead,They download faster,C,Sending large attachments may cause issues for recipients; using cloud storage or shared drives is better
Email & Calendar Best Practices,14,EMA-344,1,When is it appropriate to CC someone on an email?,When they need to be informed but not required to act,Always CC everyone,Never CC anyone,Only CC yourself,A,CCing is used to keep others informed without requiring a response
Email & Calendar Best Practices,14,EMA-344,2,What should you do before opening an email attachment?,Open it immediately,Verify the sender and ensure itâ€™s expected,Forward it to everyone,Disable antivirus software,B,Checking the sender and verifying that attachments are expected helps avoid malware or phishing attacks
Email & Calendar Best Practices,14,EMA-344,3,Why is it important to avoid clicking unknown links in emails?,They always give rewards,They may lead to phishing sites,They improve computer speed,They upgrade your email,B,Unknown links can lead to phishing or malicious sites that attempt to steal information
Email & Calendar Best Practices,15,EMA-345,1,What is a good practice for creating a subject line in professional emails?,Include personal jokes,Leave it blank,Make it clear and concise,Use all caps and emojis,C,Clear and concise subject lines help recipients understand the purpose of the email
Email & Calendar Best Practices,15,EMA-345,2,"If you receive a suspicious email asking for personal information, what should you do?",Do not respond and report it as phishing,Forward it to friends,Provide the information requested,Click all links,A,CISA recommends not responding to phishing emails and reporting them to the appropriate authority
Email & Calendar Best Practices,15,EMA-345,3,Why should you be careful with â€˜reply allâ€™ in emails?,To avoid unnecessary messages to large groups,Because it deletes the message,It encrypts the email,It automatically schedules a meeting,A,Using â€˜reply allâ€™ indiscriminately can clutter inboxes; send only to those who need to see the reply
Email & Calendar Best Practices,16,EMA-346,1,Which calendar practice helps ensure you arrive on time to meetings?,Setting reminders and alerts,Never accepting invites,Ignoring calendar notifications,Scheduling overlapping meetings,A,Using reminders and alerts helps you manage time and be punctual for meetings
Email & Calendar Best Practices,16,EMA-346,2,Why is it helpful to include an agenda in a calendar invite?,It isnâ€™t helpful,So participants know what will be discussed,To reduce attendance,To surprise attendees,B,Providing an agenda ensures attendees are prepared and understand the purpose of the meeting
Email & Calendar Best Practices,16,EMA-346,3,What is a benefit of scheduling focus time on your calendar?,It eliminates all work,It deletes emails,It reduces productivity,It allows you to dedicate uninterrupted time to important tasks,D,Blocking focus time helps you work on important tasks without interruptions
Email & Calendar Best Practices,17,EMA-347,1,Why should you avoid sending large attachments via email?,They increase security,Theyâ€™re always acceptable,They can clog recipientsâ€™ inboxes; use shared drives instead,They download faster,C,Sending large attachments may cause issues for recipients; using cloud storage or shared drives is better
Email & Calendar Best Practices,17,EMA-347,2,When is it appropriate to CC someone on an email?,Never CC anyone,Only CC yourself,Always CC everyone,When they need to be informed but not required to act,D,CCing is used to keep others informed without requiring a response
Email & Calendar Best Practices,17,EMA-347,3,What should you do before opening an email attachment?,Disable antivirus software,Forward it to everyone,Open it immediately,Verify the sender and ensure itâ€™s expected,D,Checking the sender and verifying that attachments are expected helps avoid malware or phishing attacks
Email & Calendar Best Practices,18,EMA-348,1,Why is it important to avoid clicking unknown links in emails?,They may lead to phishing sites,They always give rewards,They improve computer speed,They upgrade your email,A,Unknown links can lead to phishing or malicious sites that attempt to steal information
Email & Calendar Best Practices,18,EMA-348,2,What is a good practice for creating a subject line in professional emails?,Include personal jokes,Use all caps and emojis,Make it clear and concise,Leave it blank,C,Clear and concise subject lines help recipients understand the purpose of the email
Email & Calendar Best Practices,18,EMA-348,3,"If you receive a suspicious email asking for personal information, what should you do?",Forward it to friends,Click all links,Do not respond and report it as phishing,Provide the information requested,C,CISA recommends not responding to phishing emails and reporting them to the appropriate authority
Email & Calendar Best Practices,19,EMA-349,1,Why should you be careful with â€˜reply allâ€™ in emails?,To avoid unnecessary messages to large groups,It encrypts the email,Because it deletes the message,It automatically schedules a meeting,A,Using â€˜reply allâ€™ indiscriminately can clutter inboxes; send only to those who need to see the reply
Email & Calendar Best Practices,19,EMA-349,2,Which calendar practice helps ensure you arrive on time to meetings?,Ignoring calendar notifications,Setting reminders and alerts,Never accepting invites,Scheduling overlapping meetings,B,Using reminders and alerts helps you manage time and be punctual for meetings
Email & Calendar Best Practices,19,EMA-349,3,Why is it helpful to include an agenda in a calendar invite?,So participants know what will be discussed,To reduce attendance,To surprise attendees,It isnâ€™t helpful,A,Providing an agenda ensures attendees are prepared and understand the purpose of the meeting
Email & Calendar Best Practices,20,EMA-350,1,What is a benefit of scheduling focus time on your calendar?,It reduces productivity,It eliminates all work,It allows you to dedicate uninterrupted time to important tasks,It deletes emails,C,Blocking focus time helps you work on important tasks without interruptions
Email & Calendar Best Practices,20,EMA-350,2,Why should you avoid sending large attachments via email?,Theyâ€™re always acceptable,They increase security,They download faster,They can clog recipientsâ€™ inboxes; use shared drives instead,D,Sending large attachments may cause issues for recipients; using cloud storage or shared drives is better
Email & Calendar Best Practices,20,EMA-350,3,When is it appropriate to CC someone on an email?,Only CC yourself,When they need to be informed but not required to act,Never CC anyone,Always CC everyone,B,CCing is used to keep others informed without requiring a response
Email & Calendar Best Practices,21,EMA-351,1,What should you do before opening an email attachment?,Forward it to everyone,Open it immediately,Verify the sender and ensure itâ€™s expected,Disable antivirus software,C,Checking the sender and verifying that attachments are expected helps avoid malware or phishing attacks
Email & Calendar Best Practices,21,EMA-351,2,Why is it important to avoid clicking unknown links in emails?,They always give rewards,They improve computer speed,They upgrade your email,They may lead to phishing sites,D,Unknown links can lead to phishing or malicious sites that attempt to steal information
Email & Calendar Best Practices,21,EMA-351,3,What is a good practice for creating a subject line in professional emails?,Use all caps and emojis,Include personal jokes,Make it clear and concise,Leave it blank,C,Clear and concise subject lines help recipients understand the purpose of the email
Email & Calendar Best Practices,22,EMA-352,1,"If you receive a suspicious email asking for personal information, what should you do?",Do not respond and report it as phishing,Provide the information requested,Click all links,Forward it to friends,A,CISA recommends not responding to phishing emails and reporting them to the appropriate authority
Email & Calendar Best Practices,22,EMA-352,2,Why should you be careful with â€˜reply allâ€™ in emails?,It automatically schedules a meeting,It encrypts the email,Because it deletes the message,To avoid unnecessary messages to large groups,D,Using â€˜reply allâ€™ indiscriminately can clutter inboxes; send only to those who need to see the reply
Email & Calendar Best Practices,22,EMA-352,3,Which calendar practice helps ensure you arrive on time to meetings?,Never accepting invites,Scheduling overlapping meetings,Setting reminders and alerts,Ignoring calendar notifications,C,Using reminders and alerts helps you manage time and be punctual for meetings
Email & Calendar Best Practices,23,EMA-353,1,Why is it helpful to include an agenda in a calendar invite?,To surprise attendees,It isnâ€™t helpful,So participants know what will be discussed,To reduce attendance,C,Providing an agenda ensures attendees are prepared and understand the purpose of the meeting
Email & Calendar Best Practices,23,EMA-353,2,What is a benefit of scheduling focus time on your calendar?,It reduces productivity,It deletes emails,It eliminates all work,It allows you to dedicate uninterrupted time to important tasks,D,Blocking focus time helps you work on important tasks without interruptions
Email & Calendar Best Practices,23,EMA-353,3,Why should you avoid sending large attachments via email?,They can clog recipientsâ€™ inboxes; use shared drives instead,They download faster,Theyâ€™re always acceptable,They increase security,A,Sending large attachments may cause issues for recipients; using cloud storage or shared drives is better
Email & Calendar Best Practices,24,EMA-354,1,When is it appropriate to CC someone on an email?,When they need to be informed but not required to act,Always CC everyone,Only CC yourself,Never CC anyone,A,CCing is used to keep others informed without requiring a response
Email & Calendar Best Practices,24,EMA-354,2,What should you do before opening an email attachment?,Open it immediately,Verify the sender and ensure itâ€™s expected,Disable antivirus software,Forward it to everyone,B,Checking the sender and verifying that attachments are expected helps avoid malware or phishing attacks
Email & Calendar Best Practices,24,EMA-354,3,Why is it important to avoid clicking unknown links in emails?,They upgrade your email,They may lead to phishing sites,They improve computer speed,They always give rewards,B,Unknown links can lead to phishing or malicious sites that attempt to steal information
Email & Calendar Best Practices,25,EMA-355,1,What is a good practice for creating a subject line in professional emails?,Include personal jokes,Make it clear and concise,Leave it blank,Use all caps and emojis,B,Clear and concise subject lines help recipients understand the purpose of the email
Email & Calendar Best Practices,25,EMA-355,2,"If you receive a suspicious email asking for personal information, what should you do?",Click all links,Forward it to friends,Do not respond and report it as phishing,Provide the information requested,C,CISA recommends not responding to phishing emails and reporting them to the appropriate authority
Email & Calendar Best Practices,25,EMA-355,3,Why should you be careful with â€˜reply allâ€™ in emails?,To avoid unnecessary messages to large groups,Because it deletes the message,It encrypts the email,It automatically schedules a meeting,A,Using â€˜reply allâ€™ indiscriminately can clutter inboxes; send only to those who need to see the reply
Email & Calendar Best Practices,26,EMA-356,1,Which calendar practice helps ensure you arrive on time to meetings?,Never accepting invites,Ignoring calendar notifications,Setting reminders and alerts,Scheduling overlapping meetings,C,Using reminders and alerts helps you manage time and be punctual for meetings
Email & Calendar Best Practices,26,EMA-356,2,Why is it helpful to include an agenda in a calendar invite?,It isnâ€™t helpful,So participants know what will be discussed,To surprise attendees,To reduce attendance,B,Providing an agenda ensures attendees are prepared and understand the purpose of the meeting
Email & Calendar Best Practices,26,EMA-356,3,What is a benefit of scheduling focus time on your calendar?,It allows you to dedicate uninterrupted time to important tasks,It reduces productivity,It deletes emails,It eliminates all work,A,Blocking focus time helps you work on important tasks without interruptions
Email & Calendar Best Practices,27,EMA-357,1,Why should you avoid sending large attachments via email?,They download faster,They increase security,Theyâ€™re always acceptable,They can clog recipientsâ€™ inboxes; use shared drives instead,D,Sending large attachments may cause issues for recipients; using cloud storage or shared drives is better
Email & Calendar Best Practices,27,EMA-357,2,When is it appropriate to CC someone on an email?,Only CC yourself,When they need to be informed but not required to act,Always CC everyone,Never CC anyone,B,CCing is used to keep others informed without requiring a response
Email & Calendar Best Practices,27,EMA-357,3,What should you do before opening an email attachment?,Open it immediately,Verify the sender and ensure itâ€™s expected,Forward it to everyone,Disable antivirus software,B,Checking the sender and verifying that attachments are expected helps avoid malware or phishing attacks
Email & Calendar Best Practices,28,EMA-358,1,Why is it important to avoid clicking unknown links in emails?,They always give rewards,They upgrade your email,They may lead to phishing sites,They improve computer speed,C,Unknown links can lead to phishing or malicious sites that attempt to steal information
Email & Calendar Best Practices,28,EMA-358,2,What is a good practice for creating a subject line in professional emails?,Include personal jokes,Leave it blank,Use all caps and emojis,Make it clear and concise,D,Clear and concise subject lines help recipients understand the purpose of the email
Email & Calendar Best Practices,28,EMA-358,3,"If you receive a suspicious email asking for personal information, what should you do?",Click all links,Do not respond and report it as phishing,Forward it to friends,Provide the information requested,B,CISA recommends not responding to phishing emails and reporting them to the appropriate authority
Email & Calendar Best Practices,29,EMA-359,1,Why should you be careful with â€˜reply allâ€™ in emails?,To avoid unnecessary messages to large groups,Because it deletes the message,It encrypts the email,It automatically schedules a meeting,A,Using â€˜reply allâ€™ indiscriminately can clutter inboxes; send only to those who need to see the reply
Email & Calendar Best Practices,29,EMA-359,2,Which calendar practice helps ensure you arrive on time to meetings?,Never accepting invites,Ignoring calendar notifications,Scheduling overlapping meetings,Setting reminders and alerts,D,Using reminders and alerts helps you manage time and be punctual for meetings
Email & Calendar Best Practices,29,EMA-359,3,Why is it helpful to include an agenda in a calendar invite?,To reduce attendance,To surprise attendees,So participants know what will be discussed,It isnâ€™t helpful,C,Providing an agenda ensures attendees are prepared and understand the purpose of the meeting
Email & Calendar Best Practices,30,EMA-360,1,What is a benefit of scheduling focus time on your calendar?,It eliminates all work,It reduces productivity,It deletes emails,It allows you to dedicate uninterrupted time to important tasks,D,Blocking focus time helps you work on important tasks without interruptions
Email & Calendar Best Practices,30,EMA-360,2,Why should you avoid sending large attachments via email?,Theyâ€™re always acceptable,They can clog recipientsâ€™ inboxes; use shared drives instead,They increase security,They download faster,B,Sending large attachments may cause issues for recipients; using cloud storage or shared drives is better
Email & Calendar Best Practices,30,EMA-360,3,When is it appropriate to CC someone on an email?,Always CC everyone,When they need to be informed but not required to act,Never CC anyone,Only CC yourself,B,CCing is used to keep others informed without requiring a response
Logic & Problem Solving (Ongoing),1,LOG-361,1,What does the Pythagorean theorem state about a right triangle?,Sum of angles = 360Â°,a^2 = b^2 + c^2,Opposite sides are equal,c^2 = a^2 + b^2,D,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides"
Logic & Problem Solving (Ongoing),1,LOG-361,2,What is the slope of a line defined as?,Change in x divided by change in y,Product of x and y,Change in y divided by change in x,Sum of x and y,C,Slope is rise over run: change in y divided by change in x
Logic & Problem Solving (Ongoing),1,LOG-361,3,Which of the following best defines a function?,Outputs can have multiple corresponding inputs,A rule that assigns two outputs per input,Each input has exactly one output,Any relation with two sets,C,A function assigns exactly one output to each input
Logic & Problem Solving (Ongoing),2,LOG-362,1,"According to the law of conservation of mass, what happens to matter in a chemical reaction?",It is neither created nor destroyed,It doubles,It disappears,It becomes energy,A,Matter cannot be created or destroyed in chemical reactions
Logic & Problem Solving (Ongoing),2,LOG-362,2,Newtonâ€™s third law states that for every action there is,A reaction in the same direction,An equal and opposite reaction,A greater reaction,No reaction,B,Every action has an equal and opposite reaction
Logic & Problem Solving (Ongoing),2,LOG-362,3,What does microeconomics study?,Galactic movement,Entire national economies,Chemical reactions,Individual consumers and firms,D,Microeconomics focuses on individual consumers and businesses
Logic & Problem Solving (Ongoing),3,LOG-363,1,"In logic puzzles, what is often the first step to solving a problem?",Only looking at the answer,Guessing randomly,Ignoring the conditions,Identifying and understanding the given constraints,D,Understanding the constraints helps you form a strategy to solve logic problems
Logic & Problem Solving (Ongoing),3,LOG-363,2,Why is it useful to break complex problems into smaller parts?,It makes them harder,It makes them easier to manage and solve,It reduces accuracy,It wastes time,B,Breaking down problems simplifies them and allows you to tackle each piece individually
Logic & Problem Solving (Ongoing),3,LOG-363,3,Which term describes the number of elements in the domain of a function?,Derivative,Slope,Hypotenuse,Cardinality,D,The cardinality refers to the number of elements in a set
Logic & Problem Solving (Ongoing),4,LOG-364,1,What does a Venn diagram help illustrate in logic problems?,Nutritional guidelines,The trajectory of planets,Relationships and intersections between sets,Weather patterns,C,Venn diagrams are used to visualize relationships between sets
Logic & Problem Solving (Ongoing),4,LOG-364,2,What does the Pythagorean theorem state about a right triangle?,Opposite sides are equal,Sum of angles = 360Â°,c^2 = a^2 + b^2,a^2 = b^2 + c^2,C,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides"
Logic & Problem Solving (Ongoing),4,LOG-364,3,What is the slope of a line defined as?,Product of x and y,Sum of x and y,Change in x divided by change in y,Change in y divided by change in x,D,Slope is rise over run: change in y divided by change in x
Logic & Problem Solving (Ongoing),5,LOG-365,1,Which of the following best defines a function?,A rule that assigns two outputs per input,Each input has exactly one output,Any relation with two sets,Outputs can have multiple corresponding inputs,B,A function assigns exactly one output to each input
Logic & Problem Solving (Ongoing),5,LOG-365,2,"According to the law of conservation of mass, what happens to matter in a chemical reaction?",It doubles,It disappears,It becomes energy,It is neither created nor destroyed,D,Matter cannot be created or destroyed in chemical reactions
Logic & Problem Solving (Ongoing),5,LOG-365,3,Newtonâ€™s third law states that for every action there is,A greater reaction,No reaction,A reaction in the same direction,An equal and opposite reaction,D,Every action has an equal and opposite reaction
Logic & Problem Solving (Ongoing),6,LOG-366,1,What does microeconomics study?,Entire national economies,Galactic movement,Chemical reactions,Individual consumers and firms,D,Microeconomics focuses on individual consumers and businesses
Logic & Problem Solving (Ongoing),6,LOG-366,2,"In logic puzzles, what is often the first step to solving a problem?",Guessing randomly,Ignoring the conditions,Identifying and understanding the given constraints,Only looking at the answer,C,Understanding the constraints helps you form a strategy to solve logic problems
Logic & Problem Solving (Ongoing),6,LOG-366,3,Why is it useful to break complex problems into smaller parts?,It makes them harder,It makes them easier to manage and solve,It wastes time,It reduces accuracy,B,Breaking down problems simplifies them and allows you to tackle each piece individually
Logic & Problem Solving (Ongoing),7,LOG-367,1,Which term describes the number of elements in the domain of a function?,Derivative,Slope,Hypotenuse,Cardinality,D,The cardinality refers to the number of elements in a set
Logic & Problem Solving (Ongoing),7,LOG-367,2,What does a Venn diagram help illustrate in logic problems?,Relationships and intersections between sets,Nutritional guidelines,Weather patterns,The trajectory of planets,A,Venn diagrams are used to visualize relationships between sets
Logic & Problem Solving (Ongoing),7,LOG-367,3,What does the Pythagorean theorem state about a right triangle?,a^2 = b^2 + c^2,Opposite sides are equal,c^2 = a^2 + b^2,Sum of angles = 360Â°,C,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides"
Logic & Problem Solving (Ongoing),8,LOG-368,1,What is the slope of a line defined as?,Change in y divided by change in x,Change in x divided by change in y,Product of x and y,Sum of x and y,A,Slope is rise over run: change in y divided by change in x
Logic & Problem Solving (Ongoing),8,LOG-368,2,Which of the following best defines a function?,Each input has exactly one output,Outputs can have multiple corresponding inputs,A rule that assigns two outputs per input,Any relation with two sets,A,A function assigns exactly one output to each input
Logic & Problem Solving (Ongoing),8,LOG-368,3,"According to the law of conservation of mass, what happens to matter in a chemical reaction?",It disappears,It becomes energy,It is neither created nor destroyed,It doubles,C,Matter cannot be created or destroyed in chemical reactions
Logic & Problem Solving (Ongoing),9,LOG-369,1,Newtonâ€™s third law states that for every action there is,A reaction in the same direction,No reaction,A greater reaction,An equal and opposite reaction,D,Every action has an equal and opposite reaction
Logic & Problem Solving (Ongoing),9,LOG-369,2,What does microeconomics study?,Chemical reactions,Individual consumers and firms,Entire national economies,Galactic movement,B,Microeconomics focuses on individual consumers and businesses
Logic & Problem Solving (Ongoing),9,LOG-369,3,"In logic puzzles, what is often the first step to solving a problem?",Identifying and understanding the given constraints,Ignoring the conditions,Guessing randomly,Only looking at the answer,A,Understanding the constraints helps you form a strategy to solve logic problems
Logic & Problem Solving (Ongoing),10,LOG-370,1,Why is it useful to break complex problems into smaller parts?,It reduces accuracy,It wastes time,It makes them easier to manage and solve,It makes them harder,C,Breaking down problems simplifies them and allows you to tackle each piece individually
Logic & Problem Solving (Ongoing),10,LOG-370,2,Which term describes the number of elements in the domain of a function?,Derivative,Cardinality,Slope,Hypotenuse,B,The cardinality refers to the number of elements in a set
Logic & Problem Solving (Ongoing),10,LOG-370,3,What does a Venn diagram help illustrate in logic problems?,Weather patterns,Relationships and intersections between sets,Nutritional guidelines,The trajectory of planets,B,Venn diagrams are used to visualize relationships between sets
Logic & Problem Solving (Ongoing),11,LOG-371,1,What does the Pythagorean theorem state about a right triangle?,a^2 = b^2 + c^2,c^2 = a^2 + b^2,Opposite sides are equal,Sum of angles = 360Â°,B,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides"
Logic & Problem Solving (Ongoing),11,LOG-371,2,What is the slope of a line defined as?,Change in x divided by change in y,Sum of x and y,Change in y divided by change in x,Product of x and y,C,Slope is rise over run: change in y divided by change in x
Logic & Problem Solving (Ongoing),11,LOG-371,3,Which of the following best defines a function?,Outputs can have multiple corresponding inputs,A rule that assigns two outputs per input,Each input has exactly one output,Any relation with two sets,C,A function assigns exactly one output to each input
Logic & Problem Solving (Ongoing),12,LOG-372,1,"According to the law of conservation of mass, what happens to matter in a chemical reaction?",It is neither created nor destroyed,It disappears,It doubles,It becomes energy,A,Matter cannot be created or destroyed in chemical reactions
Logic & Problem Solving (Ongoing),12,LOG-372,2,Newtonâ€™s third law states that for every action there is,An equal and opposite reaction,A reaction in the same direction,No reaction,A greater reaction,A,Every action has an equal and opposite reaction
Logic & Problem Solving (Ongoing),12,LOG-372,3,What does microeconomics study?,Entire national economies,Galactic movement,Chemical reactions,Individual consumers and firms,D,Microeconomics focuses on individual consumers and businesses
Logic & Problem Solving (Ongoing),13,LOG-373,1,"In logic puzzles, what is often the first step to solving a problem?",Ignoring the conditions,Identifying and understanding the given constraints,Only looking at the answer,Guessing randomly,B,Understanding the constraints helps you form a strategy to solve logic problems
Logic & Problem Solving (Ongoing),13,LOG-373,2,Why is it useful to break complex problems into smaller parts?,It wastes time,It makes them harder,It makes them easier to manage and solve,It reduces accuracy,C,Breaking down problems simplifies them and allows you to tackle each piece individually
Logic & Problem Solving (Ongoing),13,LOG-373,3,Which term describes the number of elements in the domain of a function?,Slope,Cardinality,Hypotenuse,Derivative,B,The cardinality refers to the number of elements in a set
Logic & Problem Solving (Ongoing),14,LOG-374,1,What does a Venn diagram help illustrate in logic problems?,Relationships and intersections between sets,Nutritional guidelines,The trajectory of planets,Weather patterns,A,Venn diagrams are used to visualize relationships between sets
Logic & Problem Solving (Ongoing),14,LOG-374,2,What does the Pythagorean theorem state about a right triangle?,Sum of angles = 360Â°,Opposite sides are equal,c^2 = a^2 + b^2,a^2 = b^2 + c^2,C,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides"
Logic & Problem Solving (Ongoing),14,LOG-374,3,What is the slope of a line defined as?,Product of x and y,Change in x divided by change in y,Change in y divided by change in x,Sum of x and y,C,Slope is rise over run: change in y divided by change in x
Logic & Problem Solving (Ongoing),15,LOG-375,1,Which of the following best defines a function?,Outputs can have multiple corresponding inputs,Each input has exactly one output,A rule that assigns two outputs per input,Any relation with two sets,B,A function assigns exactly one output to each input
Logic & Problem Solving (Ongoing),15,LOG-375,2,"According to the law of conservation of mass, what happens to matter in a chemical reaction?",It is neither created nor destroyed,It disappears,It doubles,It becomes energy,A,Matter cannot be created or destroyed in chemical reactions
Logic & Problem Solving (Ongoing),15,LOG-375,3,Newtonâ€™s third law states that for every action there is,An equal and opposite reaction,A greater reaction,No reaction,A reaction in the same direction,A,Every action has an equal and opposite reaction
Logic & Problem Solving (Ongoing),16,LOG-376,1,What does microeconomics study?,Chemical reactions,Entire national economies,Individual consumers and firms,Galactic movement,C,Microeconomics focuses on individual consumers and businesses
Logic & Problem Solving (Ongoing),16,LOG-376,2,"In logic puzzles, what is often the first step to solving a problem?",Ignoring the conditions,Guessing randomly,Only looking at the answer,Identifying and understanding the given constraints,D,Understanding the constraints helps you form a strategy to solve logic problems
Logic & Problem Solving (Ongoing),16,LOG-376,3,Why is it useful to break complex problems into smaller parts?,It reduces accuracy,It makes them easier to manage and solve,It makes them harder,It wastes time,B,Breaking down problems simplifies them and allows you to tackle each piece individually
Logic & Problem Solving (Ongoing),17,LOG-377,1,Which term describes the number of elements in the domain of a function?,Slope,Cardinality,Derivative,Hypotenuse,B,The cardinality refers to the number of elements in a set
Logic & Problem Solving (Ongoing),17,LOG-377,2,What does a Venn diagram help illustrate in logic problems?,The trajectory of planets,Weather patterns,Relationships and intersections between sets,Nutritional guidelines,C,Venn diagrams are used to visualize relationships between sets
Logic & Problem Solving (Ongoing),17,LOG-377,3,What does the Pythagorean theorem state about a right triangle?,Opposite sides are equal,c^2 = a^2 + b^2,Sum of angles = 360Â°,a^2 = b^2 + c^2,B,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides"
Logic & Problem Solving (Ongoing),18,LOG-378,1,What is the slope of a line defined as?,Change in x divided by change in y,Product of x and y,Sum of x and y,Change in y divided by change in x,D,Slope is rise over run: change in y divided by change in x
Logic & Problem Solving (Ongoing),18,LOG-378,2,Which of the following best defines a function?,A rule that assigns two outputs per input,Any relation with two sets,Outputs can have multiple corresponding inputs,Each input has exactly one output,D,A function assigns exactly one output to each input
Logic & Problem Solving (Ongoing),18,LOG-378,3,"According to the law of conservation of mass, what happens to matter in a chemical reaction?",It disappears,It is neither created nor destroyed,It doubles,It becomes energy,B,Matter cannot be created or destroyed in chemical reactions
Logic & Problem Solving (Ongoing),19,LOG-379,1,Newtonâ€™s third law states that for every action there is,An equal and opposite reaction,A reaction in the same direction,No reaction,A greater reaction,A,Every action has an equal and opposite reaction
Logic & Problem Solving (Ongoing),19,LOG-379,2,What does microeconomics study?,Galactic movement,Chemical reactions,Individual consumers and firms,Entire national economies,C,Microeconomics focuses on individual consumers and businesses
Logic & Problem Solving (Ongoing),19,LOG-379,3,"In logic puzzles, what is often the first step to solving a problem?",Only looking at the answer,Ignoring the conditions,Identifying and understanding the given constraints,Guessing randomly,C,Understanding the constraints helps you form a strategy to solve logic problems
Logic & Problem Solving (Ongoing),20,LOG-380,1,Why is it useful to break complex problems into smaller parts?,It makes them easier to manage and solve,It makes them harder,It wastes time,It reduces accuracy,A,Breaking down problems simplifies them and allows you to tackle each piece individually
Logic & Problem Solving (Ongoing),20,LOG-380,2,Which term describes the number of elements in the domain of a function?,Slope,Hypotenuse,Cardinality,Derivative,C,The cardinality refers to the number of elements in a set
Logic & Problem Solving (Ongoing),20,LOG-380,3,What does a Venn diagram help illustrate in logic problems?,The trajectory of planets,Relationships and intersections between sets,Nutritional guidelines,Weather patterns,B,Venn diagrams are used to visualize relationships between sets
Logic & Problem Solving (Ongoing),21,LOG-381,1,What does the Pythagorean theorem state about a right triangle?,Sum of angles = 360Â°,Opposite sides are equal,a^2 = b^2 + c^2,c^2 = a^2 + b^2,D,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides"
Logic & Problem Solving (Ongoing),21,LOG-381,2,What is the slope of a line defined as?,Change in y divided by change in x,Sum of x and y,Product of x and y,Change in x divided by change in y,A,Slope is rise over run: change in y divided by change in x
Logic & Problem Solving (Ongoing),21,LOG-381,3,Which of the following best defines a function?,Outputs can have multiple corresponding inputs,Each input has exactly one output,Any relation with two sets,A rule that assigns two outputs per input,B,A function assigns exactly one output to each input
Logic & Problem Solving (Ongoing),22,LOG-382,1,"According to the law of conservation of mass, what happens to matter in a chemical reaction?",It becomes energy,It doubles,It disappears,It is neither created nor destroyed,D,Matter cannot be created or destroyed in chemical reactions
Logic & Problem Solving (Ongoing),22,LOG-382,2,Newtonâ€™s third law states that for every action there is,A reaction in the same direction,An equal and opposite reaction,No reaction,A greater reaction,B,Every action has an equal and opposite reaction
Logic & Problem Solving (Ongoing),22,LOG-382,3,What does microeconomics study?,Individual consumers and firms,Chemical reactions,Galactic movement,Entire national economies,A,Microeconomics focuses on individual consumers and businesses
Logic & Problem Solving (Ongoing),23,LOG-383,1,"In logic puzzles, what is often the first step to solving a problem?",Identifying and understanding the given constraints,Guessing randomly,Only looking at the answer,Ignoring the conditions,A,Understanding the constraints helps you form a strategy to solve logic problems
